catchment_id,du,x,y,sourceName,identifier,comid
cat-482867,u,-87.79637012151345,33.19193025793324,NHDPlus comid,18617054,18617054
cat-2400203,d,-95.79994550180665,31.42308058364108,NHDPlus comid,1456075,1456075
cat-2400202,u,-95.84080381439624,31.455454127213304,NHDPlus comid,1456021,1456021
cat-1112955,d,-90.6599661769743,43.91325478475413,NHDPlus comid,2454116,2454116
cat-1112944,u,-90.62282257516496,43.91786065657675,NHDPlus comid,2454104,2454104
cat-801998,d,-78.62246352164833,41.69927480269354,NHDPlus comid,8973954,8973954
cat-802014,u,-78.60839134723257,41.72022301193505,NHDPlus comid,8973904,8973904
cat-2862642,d,-118.7755032516988,40.63702652356685,NHDPlus comid,11287066,11287066
cat-2862647,u,-118.79018329590636,40.63513812883608,NHDPlus comid,11287532,11287532
cat-2429421,d,-94.66617959706858,30.206488279682123,NHDPlus comid,1143208,1143208
cat-2429444,u,-94.61591149613037,30.2245118545218,NHDPlus comid,1142804,1142804
cat-1084874,d,-93.4665759930765,42.9641324296492,NHDPlus comid,2165647,2165647
cat-1084873,u,-93.49393674410275,42.98898190703154,NHDPlus comid,2165623,2165623
cat-1558729,d,-103.37502350445747,41.16103277181277,NHDPlus comid,17443648,17443648
cat-1558798,u,-103.42336028985672,41.13245972212752,NHDPlus comid,17443770,17443770
cat-2129980,d,-94.89404800723824,32.64666495184711,NHDPlus comid,1042273,1042273
cat-2129974,u,-94.93524941703912,32.6773175680684,NHDPlus comid,1042229,1042229
cat-2514559,d,-107.8152161483985,33.088165237920904,NHDPlus comid,3221127,3221127
cat-2514561,u,-107.83066810637663,33.10732658587492,NHDPlus comid,3220873,3220873
cat-1812093,d,-103.23288484003388,47.79424410293718,NHDPlus comid,14469121,14469121
cat-1812098,u,-103.24999480557793,47.7416138326352,NHDPlus comid,14469161,14469161
cat-96615,d,-78.46232221924183,39.38732791552128,NHDPlus comid,8432344,8432344
cat-96622,u,-78.52863501448759,39.37388516642495,NHDPlus comid,8432404,8432404
cat-1102688,d,-92.01080194062108,45.87237334619271,NHDPlus comid,2268937,2268937
cat-1102685,u,-91.95137519619954,45.89712786092106,NHDPlus comid,2265501,2265501
cat-1805158,d,-100.82527797051917,46.43028051513384,NHDPlus comid,16203582,16203582
cat-1805094,u,-100.91626620624736,46.38696705243037,NHDPlus comid,16203758,16203758
cat-3005405,d,-114.03518455969262,48.13615020097733,NHDPlus comid,24339714,24339714
cat-3005411,u,-113.06379160490926,48.02884999027614,NHDPlus comid,22959399,22959399
cat-3318064,d,-116.792965733891,33.143222777503986,NHDPlus comid,20329604,20329604
cat-3318063,u,-116.77885595576606,33.17800666632746,NHDPlus comid,20329528,20329528
cat-1826177,d,-107.121457867808,45.715539262726615,NHDPlus comid,12777073,12777073
cat-1826168,u,-107.0519807088048,45.62866016168782,NHDPlus comid,12777229,12777229
cat-2524544,d,-107.84801475217624,34.58451586970201,NHDPlus comid,17785393,17785393
cat-2524568,u,-107.87177636190304,34.58707027741846,NHDPlus comid,17785365,17785365
cat-1538577,d,-99.91443245348434,38.98451352401857,NHDPlus comid,7317584,7317584
cat-1538712,u,-99.96618159002188,39.02316806457311,NHDPlus comid,7316374,7316374
cat-252876,d,-77.58672733681627,36.83307984058731,NHDPlus comid,8724735,8724735
cat-253116,u,-77.83198286326358,36.86014700351205,NHDPlus comid,8724529,8724529
cat-805811,d,-82.46055887041018,37.537596016914414,NHDPlus comid,886549,886549
cat-805815,u,-82.43061289271164,37.51016313335764,NHDPlus comid,886603,886603
cat-660390,d,-84.56845091922597,44.037462987592015,NHDPlus comid,13046091,13046091
cat-660388,u,-84.62748091208246,44.01107511617294,NHDPlus comid,13045815,13045815
cat-2176486,d,-96.22668993504072,36.93166567256978,NHDPlus comid,21784972,21784972
cat-2176479,u,-96.34024942413213,36.89381045255664,NHDPlus comid,21785002,21785002
cat-1857302,d,-104.9132319874224,47.96323848569487,NHDPlus comid,3014089,3014089
cat-1857305,u,-104.9766126274932,47.95555704834434,NHDPlus comid,3014139,3014139
cat-2139434,d,-99.71326779231477,34.05295837212019,NHDPlus comid,14002565,14002565
cat-2139435,u,-99.73032484680616,34.0173557580456,NHDPlus comid,14002589,14002589
cat-1786318,d,-96.95419359867576,43.34254977963094,NHDPlus comid,16015438,16015438
cat-1786320,u,-96.93132123450155,43.332231048314654,NHDPlus comid,16015446,16015446
cat-1010677,d,-83.3637447368807,36.3475516346284,NHDPlus comid,22178838,22178838
cat-1010679,u,-83.30930581461195,36.3565480235596,NHDPlus comid,22178824,22178824
cat-3014523,d,-117.84391420944463,47.05090915487951,NHDPlus comid,23470806,23470806
cat-3007701,u,-117.53895253729772,47.24358301731298,NHDPlus comid,23471438,23471438
cat-2527964,d,-106.6098038756628,34.057811792679075,NHDPlus comid,17742903,17742903
cat-2527969,u,-106.64859537849588,34.100378590978444,NHDPlus comid,17742789,17742789
cat-1558667,d,-103.03969204592374,41.01804604160037,NHDPlus comid,17449049,17449049
cat-1558662,u,-103.27112532329149,40.94993179336476,NHDPlus comid,17451299,17451299
cat-2163184,d,-97.94623456606244,37.99538013414477,NHDPlus comid,22077307,22077307
cat-2163178,u,-97.95626156879725,37.94208251332103,NHDPlus comid,22077383,22077383
cat-2983144,d,-111.47803343046948,44.40773851484875,NHDPlus comid,24462754,24462754
cat-2987331,u,-111.18138364110888,44.50307489573695,NHDPlus comid,24460128,24460128
cat-1573888,d,-94.1396221988024,39.69678416204703,NHDPlus comid,5108980,5108980
cat-1574055,u,-94.14717645664194,39.67203907655416,NHDPlus comid,5109008,5109008
cat-656693,d,-84.01631159159093,43.64041536884674,NHDPlus comid,12936778,12936778
cat-656681,u,-84.18464681603623,43.68033414376501,NHDPlus comid,12937820,12937820
cat-94872,d,-76.94305651099029,38.81509415941387,NHDPlus comid,22337813,22337813
cat-94871,u,-76.89428972048965,38.83515141592672,NHDPlus comid,22337805,22337805
cat-2162384,d,-98.85905926816736,37.75447267373876,NHDPlus comid,21159445,21159445
cat-2162383,u,-98.80725058171184,37.809795168472434,NHDPlus comid,21159431,21159431
cat-641529,d,-89.72707685642598,46.45541919622671,NHDPlus comid,6794101,6794101
cat-641533,u,-89.63889754765663,46.4410906546513,NHDPlus comid,6793695,6793695
cat-1814619,d,-106.75692907290998,45.6623608932273,NHDPlus comid,13237313,13237313
cat-1814616,u,-106.9097451536344,45.70843389242704,NHDPlus comid,13236491,13236491
cat-1489141,d,-94.78439097061296,47.91653981610842,NHDPlus comid,22193198,22193198
cat-1489139,u,-94.72046530579053,47.90609807631792,NHDPlus comid,22192954,22192954
cat-2133232,d,-95.48266262584649,34.48654567802057,NHDPlus comid,591944,591944
cat-2133233,u,-95.50077009589565,34.5187792610761,NHDPlus comid,590810,590810
cat-2598705,d,-107.85084543985737,41.29015320716879,NHDPlus comid,18272258,18272258
